product_name,product_slug,product_content,product_status,menu_order,product_date,post_parent,comment_status,sku,downloadable,virtual,visibility,stock_qty,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,upsell_ids,crosssell_ids,sold_individually,download_limit,download_expiry,purchase_note,featured_image,product_type,product_category,product_tag,product_shipping_class,product_attribute_name,product_attribute_value,product_attribute_visible
NandroRapid,NandroRapid,"NANDROLONE PHENYLPROPIONATE

CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 125

Dosage: 10x1ml",Publish,0,7/26/2018,0,1,Nanrap,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/nandrorapid1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Nandrobolin 250,Nandrobolin 250,"NANDROBOLIN-250 ™ is indicated for the treatment of chronic infections such as convalescence after major surgery or major trauma which requires reversal of catabolic effect, as well as for the treatment of anemia, cancer and Turner syndrome.

NANDROLONE DECANOATE
CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE OF RELEASE: 15 days
ANABOLIC RATING: 125
ANDROGENIC RATING: 37

Dosage: 10x1ml",Publish,0,7/27/2018,0,1,nandrob250,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/nandrobolin250.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Nandrolon decanoate hellas,Nandrolon decanoate hellas,"NANDROLONE DECANOATE
CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE OF RELEASE: 15 days
ANABOLIC RATING: 125
ANDROGENS RATING: 37",Publish,0,7/28/2018,0,1,nanddechel,no,no,1,1,1,1,no,5.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/nandrolone%20decanoate.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Nandrolone Decanoate Injection,Nandrolone Decanoate Injection,"NANDROLONE DECANOATE

CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE OF RELEASE: 15 days
ANABOLIC RATING: 125
ANDROGENIC RATING: 37

",Publish,0,7/29/2018,0,1,nanddecinj,no,no,1,1,1,1,no,40.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/nandrolone-decanoate-injection2.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Nandrolone Phenylpropionate,Nandrolone Phenylpropionate,"NANDROLONE   PHENYLPROPIONATE

CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one

HALF-LIFE: 4.5 day
ANABOLIC RATING: 125
ANDROGENS RATING: 37",Publish,0,7/30/2018,0,1,nandphen,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/nandrolone-phenylproprionate-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Nandrolone Phenylpropionate,Nandrolone Phenylpropionate,"NANDROLONE PHENYLPROPIONATE
CHEMICAL NAME: 19-norandrost-4-en-3-one-17B-ol, 17β-Hydroxyestra-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 125
ANDROGENS RATING: 37",Publish,0,7/31/2018,0,1,naniphen2,no,no,1,1,1,1,no,45.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/nandrolone.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Omnadren 250,Omnadren 250,"The price is for 5amp

Testosterone blend represent a stack of esters of different Omnadren lengths in the same cycle, and dry with the testosterone propionate - short ester attached and testosterone enanthate with the - long ester attached.This combination of testosterone and is characterized with strong anabolic and androgenic proprieties. Omnadren This fact make it very popular in bodybuilding and supplement and efficient in gaining strength and mass.Testosterone Omnadren blend enable SPORTMEN to inject at moderately frequent intervals and produce stable testosterone levels within the body Omnadren for a long period. The propionate ester test blend Allows to display a rapid elevation of blood plasma levels of Omnadren testosterone. The enanthate ester, Which releases at a slower rate, prolongs the blood plasma levels of testosterone.Omnadren Testosterone stack blends well with practically any oral or any injectable and can make for a very good base for mass Omnadren building cycles. Thus mean that in most cases Testosterone blend is taken as a bulking drug.The dosages that is usually Omnadren chosen by bodybuilders range from 250 mg to 2 g / week.",Publish,0,8/1/2018,0,1,Omn250,no,no,1,1,1,1,no,19.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/omnadren-250.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Parabolin,Parabolin,"ARABOLIN

PARABOLIN anabolic steroid is indicated for the treatment of severe muscular dystrophy, as well as the growth of acute renal failure.

 

TRENBOLONE  HEXAHYDROBENZYLCARBONATE

CHEMICAL NAME: 17β-Hydroxyestra-4,9,11-triene-3-one
HALF-LIFE: 14 days
ANABOLIC RATING: 500
ANDROGENIC RATING: 500

Dosage: 5x1ml",Publish,0,8/2/2018,0,1,Para01,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/parabolin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Primabol-100,Primabol-100,"METHENOLONE ENANTHATE
CHEMICAL NAME: 17beta-hydroxy-1-methyl-5alpha-androst-1-en-3-one, 1-methyl-1-(5-alpha) -androsten-3-one-17b-ol
HALF-LIFE OF RELEASE: 10 days
ANABOLIC RATING: 88
ANDROGEN RATING: 44-57

",Publish,0,8/3/2018,0,1,Prima100,no,no,1,1,1,1,no,64.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/primo-11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Primobolan Injection,Primobolan Injection,"METHENOLONE ENANTHATE

CHEMICAL NAME: 17beta-hydroxy-1-methyl-5alpha-androst-1-en-3-one, 1-methyl-1-(5-alpha) -androsten-3-one-17b-ol
HALF-LIFE OF RELEASE: 10 days
ANABOLIC RATING: 88
ANDROGENIC RATING: 44-57",Publish,0,8/4/2018,0,1,primainj01,no,no,1,1,1,1,no,69.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/primobolan-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Propionate-100,Propionate-100,"TESTOSTERONE PROPIONATE
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100

",Publish,0,8/5/2018,0,1,prop100,no,no,1,1,1,1,no,30.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/propionate.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Rexogin,Rexogin,"REXOGIN ™ is indicated for the treatment of anemia, aplastic anemia, angioedema, and antithrombin III deficiency.

STANOZOLOL
CHEMICAL NAME: 17β-Hydroxy-17-methyl-5alpha-androstano [3,2-c] pyrazole
HALF-LIFE of RELEASE: 9 hours (oral), 24 hours (for injection)
ANABOLIC RATING: 320
ANDROGENS RATING: 30

Dosage: 10x1ml",Publish,0,8/6/2018,0,1,rexo01,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/rexogin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Ripped-250,Ripped-250,"TRENBOLONE ACETATE
CHEMICAL NAME: 17β-Hydroxyestra-4,9,11-triene-3-one
HALF-LIFE: 3 days
ANABOLIC RATING: 500
ANDROGENS RATING: 500

TESTOSTERONE PROPIONATE
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100

DROSTANOLONE PROPIONATE
CHEMICAL NAME: 2alpha-methyl-androstan-3-one-17B-ol, 2alpha-methyl-dihydrotestosterone
HALF-LIFE: 4-5 days
ANABOLIC RATING: 62-130
ANDROGENS RATING: 25-40

",Publish,0,8/7/2018,0,1,ripped250,no,no,1,1,1,1,no,48.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/ripped-12.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Stanozolol Injection,Stanozolol Injection," STANOZOLOL

CHEMICAL NAME: 17β-Hydroxy-17-methyl-5alpha-androstano [3,2-c] pyrazole
HALF-LIFE of RELEASE: 9 hours (oral), 24 hours (for injection)
ANABOLIC RATING: 320
ANDROGENIC RATING: 30

",Publish,0,8/8/2018,0,1,staninj,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/stanozolol-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Stanozolol-50 1x10ml,Stanozolol-50 1x10ml,"STANOZOLOL
CHEMICAL NAME: 17β-Hydroxy-17-methyl-5alpha-androstano [3,2-c] pyrazole
HALF-LIFE of RELEASE: 9 hours (oral), 24 hours (for injection)
ANABOLIC RATING: 320
ANDROGENS RATING: 30

 ",Publish,0,8/9/2018,0,1,stan50x1,no,no,1,1,1,1,no,36.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/stanozol-inj-12.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Sustanon Pakistan,Sustanon Pakistan,"CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 15 - 18 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100

Dosage: 10x1ml",Publish,0,8/10/2018,0,1,sustpaki,no,no,1,1,1,1,no,10.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/pakistan1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Sustanon-250,Sustanon-250,"TESTOSTERONE MIX
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 15 - 18 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100",Publish,0,8/11/2018,0,1,sust250,no,no,1,1,1,1,no,40.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/sustanon-11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
T-400,T-400,"TESTOSTERONE MIX
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 15-18 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100",Publish,0,8/12/2018,0,1,t400,no,no,1,1,1,1,no,58.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/t-400-11.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Test-prop 100,Test-prop 100,"TESTOSTERONE PROPIONATE

CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100

",Publish,0,8/13/2018,0,1,test100,no,no,1,1,1,1,no,33.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/test-prop-100.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testex Pro-250,Testex Pro-250,"TESTOSTERONE CYPIONATE
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 12 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100",Publish,0,8/14/2018,0,1,testex250,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testex-pro-250.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testo ripped-400,Testo ripped-400,"TESTO RIPPED-400

TESTOSTERONE ENANTHATE            200mg
TRENBOLONE ENANTHATE               100mg
DROSTANOLONE ENANTHATE          100mg

CONTENTS:    400mg/ml. (10amp./1ml)

 

CHEMICAL NAMES:
(17β)-3-Oxo estra-4,9,11-trien-17-yl heptanoate (trenbolone enanthate)
(17β)-3-Oxo androst-4-en-17-yl heptanoate (testosterone enanthate)
(2α,5α,17β)-2-Methyl-3-oxo androstan-17-yl heptanoate (drostanolone enanthate)",Publish,0,8/15/2018,0,1,testexrip400,no,no,1,1,1,1,no,68.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testo-ripped-400-front1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testo tren-400,Testo tren-400,"TESTO TREN-400

NANDROLONE DECANOATE             150mg
TESTOSTERONE ENANTHATE            150mg
TRENBOLONE ENANTHATE               100mg

CONTENTS:    400mg/ml. (10amp./1ml)

 

CHEMICAL NAMES:
(17β)-3-Oxoestr-4-en-17-yl decanoate (nandrolone decanoate)
(17β)-3-Oxo androst-4-en-17-yl heptanoate (testosterone enanthate)
(17β)-3-Oxo estra-4,9,11-trien-17-yl heptanoate (trenbolone enanthate)

",Publish,0,8/16/2018,0,1,testotren400,no,no,1,1,1,1,no,58.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testo-tren-400-front1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testobolin,Testobolin,"TESTOSTERONE ENANTHATE

CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 10 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100

Dosage: 10x1ml",Publish,0,8/17/2018,0,1,testobolin02,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testobolin1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testobolin-XR,Testobolin-XR,"The oil-based preparation is injected intramuscularly.

Dosage: 1,000 mg per month",Publish,0,8/18/2018,0,1,testobolxr,no,no,1,1,1,1,no,39.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testobolin-xr.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testocyp,Testocyp,"TESTOSTERONE CYPIONATE

CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 12 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100

Dosage:10x1ml",Publish,0,8/19/2018,0,1,testocyp01,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testocryp.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testorapid,Testorapid,"TESTORAPID ™ is for use in hormone replacement therapy, rejuvenating treatment, used in the treatment of hypopituitarizmua in treatment of female breast cancer.

TESTOSTERONE PROPIONATE
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 4.5 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100",Publish,0,8/20/2018,0,1,Testorapid01,no,no,1,1,1,1,no,36.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testorapid1.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testosterone Compound Injection,Testosterone Compound Injection,"TESTOSTERONE MIX

CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 15 - 18 days
ANABOLIC RATING: 100
ANDROGENIC RATING: 100

",Publish,0,8/21/2018,0,1,testocominj01,no,no,1,1,1,1,no,38.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/images/testosterone-compound-injection.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
Testosterone Cypionate,Testosterone Cypionate,"TESTOSTERONE CYPIONATE
CHEMICAL NAME: 4-androstene-3-one-17B-ol, 17beta-hydroxy-androst-4-en-3-one
HALF-LIFE: 12 days
ANABOLIC RATING: 100
ANDROGENS RATING: 100",Publish,0,8/22/2018,0,1,testcyp02,no,no,1,1,1,1,no,43.99,0,100,50,50,50,0,0,yes,0,0,Only the best Supplements you can trust,https://malaytiger-shop.org/uploads/files/testosterone.jpg,,Supplements|InjectableSteroids|Malay,,class 1,,,
